week,region,category,total_feedback,negative_feedback,negative_rate
1,East,customer_support,2,1,0.5
1,East,packaging,1,0,0.0
1,East,pricing,1,1,1.0
1,East,product_quality,4,2,0.5
1,North,customer_support,2,0,0.0
1,North,pricing,1,0,0.0
1,North,product_quality,4,0,0.0
1,South,packaging,2,2,1.0
1,South,pricing,1,0,0.0
1,South,product_quality,10,0,0.0
1,West,customer_support,2,1,0.5
1,West,product_quality,4,0,0.0
2,East,customer_support,1,1,1.0
2,East,pricing,2,1,0.5
2,East,product_quality,9,1,0.111
2,North,customer_support,1,0,0.0
2,North,packaging,1,1,1.0
2,North,pricing,2,2,1.0
2,North,product_quality,4,0,0.0
2,South,customer_support,1,1,1.0
2,South,packaging,1,0,0.0
2,South,pricing,3,2,0.667
2,South,product_quality,5,0,0.0
2,West,customer_support,2,1,0.5
2,West,packaging,2,2,1.0
2,West,pricing,1,1,1.0
2,West,product_quality,8,0,0.0
3,East,customer_support,2,1,0.5
3,East,packaging,2,0,0.0
3,East,pricing,2,0,0.0
3,East,product_quality,8,1,0.125
3,North,customer_support,1,1,1.0
3,North,pricing,1,0,0.0
3,North,product_quality,8,0,0.0
3,South,customer_support,2,1,0.5
3,South,packaging,2,1,0.5
3,South,pricing,1,0,0.0
3,South,product_quality,9,0,0.0
3,West,customer_support,4,4,1.0
3,West,packaging,2,1,0.5
3,West,pricing,3,3,1.0
3,West,product_quality,8,1,0.125
4,East,customer_support,3,0,0.0
4,East,packaging,1,0,0.0
4,East,pricing,2,1,0.5
4,East,product_quality,9,1,0.111
4,North,customer_support,2,2,1.0
4,North,packaging,2,0,0.0
4,North,pricing,3,1,0.333
4,North,product_quality,4,0,0.0
4,South,packaging,4,0,0.0
4,South,pricing,2,1,0.5
4,South,product_quality,9,1,0.111
4,West,customer_support,1,1,1.0
4,West,packaging,1,0,0.0
4,West,pricing,1,1,1.0
4,West,product_quality,5,0,0.0
5,East,customer_support,2,0,0.0
5,East,packaging,3,1,0.333
5,East,pricing,1,0,0.0
5,East,product_quality,10,2,0.2
5,North,customer_support,2,1,0.5
5,North,packaging,1,1,1.0
5,North,product_quality,5,0,0.0
5,South,customer_support,1,0,0.0
5,South,pricing,2,0,0.0
5,South,product_quality,9,0,0.0
5,West,customer_support,1,1,1.0
5,West,product_quality,4,0,0.0
6,East,packaging,5,2,0.4
6,East,pricing,2,1,0.5
6,East,product_quality,4,0,0.0
6,North,customer_support,1,0,0.0
6,North,packaging,3,2,0.667
6,North,pricing,1,0,0.0
6,North,product_quality,8,1,0.125
