date,region,product_id,average_delivery_days,late_delivery_rate
2026-01-05,North,P001,3.09,0.03
2026-01-05,North,P002,3.23,0.049
2026-01-05,North,P003,2.41,0.027
2026-01-05,North,P004,3.04,0.037
2026-01-05,South,P001,2.99,0.031
2026-01-05,South,P002,3.26,0.048
2026-01-05,South,P003,3.02,0.051
2026-01-05,South,P004,3.14,0.031
2026-01-05,East,P001,3.11,0.03
2026-01-05,East,P002,3.26,0.04
2026-01-05,East,P003,2.94,0.033
2026-01-05,East,P004,3.37,0.038
2026-01-05,West,P001,2.87,0.036
2026-01-05,West,P002,3.16,0.044
2026-01-05,West,P003,3.12,0.044
2026-01-05,West,P004,3.64,0.036
2026-01-06,North,P001,2.85,0.032
2026-01-06,North,P002,3.18,0.051
2026-01-06,North,P003,2.97,0.032
2026-01-06,North,P004,2.75,0.047
2026-01-06,South,P001,3.22,0.045
2026-01-06,South,P002,2.8,0.042
2026-01-06,South,P003,3.04,0.042
2026-01-06,South,P004,3.26,0.042
2026-01-06,East,P001,3.2,0.041
2026-01-06,East,P002,3.09,0.046
2026-01-06,East,P003,2.56,0.037
2026-01-06,East,P004,2.86,0.034
2026-01-06,West,P001,2.92,0.055
2026-01-06,West,P002,2.74,0.05
2026-01-06,West,P003,2.5,0.037
2026-01-06,West,P004,3.05,0.046
2026-01-07,North,P001,3.21,0.048
2026-01-07,North,P002,2.9,0.035
2026-01-07,North,P003,3.26,0.038
2026-01-07,North,P004,2.62,0.029
2026-01-07,South,P001,2.72,0.045
2026-01-07,South,P002,3.04,0.047
2026-01-07,South,P003,2.87,0.042
2026-01-07,South,P004,3.19,0.037
2026-01-07,East,P001,3.14,0.033
2026-01-07,East,P002,2.89,0.036
2026-01-07,East,P003,2.64,0.045
2026-01-07,East,P004,2.86,0.04
2026-01-07,West,P001,3.14,0.044
2026-01-07,West,P002,3.2,0.039
2026-01-07,West,P003,2.87,0.039
2026-01-07,West,P004,2.49,0.026
2026-01-08,North,P001,2.6,0.03
2026-01-08,North,P002,3.12,0.031
2026-01-08,North,P003,2.89,0.053
2026-01-08,North,P004,2.89,0.047
2026-01-08,South,P001,2.72,0.038
2026-01-08,South,P002,2.71,0.037
2026-01-08,South,P003,3.25,0.023
2026-01-08,South,P004,3.13,0.042
2026-01-08,East,P001,2.82,0.026
2026-01-08,East,P002,3.02,0.035
2026-01-08,East,P003,3.07,0.04
2026-01-08,East,P004,3.48,0.038
2026-01-08,West,P001,2.69,0.042
2026-01-08,West,P002,3.07,0.054
2026-01-08,West,P003,3.25,0.044
2026-01-08,West,P004,3.44,0.028
2026-01-09,North,P001,2.81,0.031
2026-01-09,North,P002,2.88,0.026
2026-01-09,North,P003,3.19,0.038
2026-01-09,North,P004,2.56,0.03
2026-01-09,South,P001,3.09,0.048
2026-01-09,South,P002,3.6,0.069
2026-01-09,South,P003,3.12,0.03
2026-01-09,South,P004,2.36,0.043
2026-01-09,East,P001,2.76,0.036
2026-01-09,East,P002,2.82,0.039
2026-01-09,East,P003,3.32,0.042
2026-01-09,East,P004,2.95,0.03
2026-01-09,West,P001,2.5,0.035
2026-01-09,West,P002,2.98,0.058
2026-01-09,West,P003,3.04,0.05
2026-01-09,West,P004,2.85,0.028
2026-01-10,North,P001,2.71,0.033
2026-01-10,North,P002,3.64,0.032
2026-01-10,North,P003,3.25,0.031
2026-01-10,North,P004,3.28,0.044
2026-01-10,South,P001,2.95,0.04
2026-01-10,South,P002,2.8,0.044
2026-01-10,South,P003,2.86,0.028
2026-01-10,South,P004,2.62,0.042
2026-01-10,East,P001,3.47,0.042
2026-01-10,East,P002,2.96,0.043
2026-01-10,East,P003,3.39,0.042
2026-01-10,East,P004,2.88,0.051
2026-01-10,West,P001,3.13,0.055
2026-01-10,West,P002,3.05,0.028
2026-01-10,West,P003,2.59,0.057
2026-01-10,West,P004,3.52,0.038
2026-01-11,North,P001,2.89,0.055
2026-01-11,North,P002,2.67,0.031
2026-01-11,North,P003,3.19,0.036
2026-01-11,North,P004,3.0,0.038
2026-01-11,South,P001,3.1,0.054
2026-01-11,South,P002,3.03,0.046
2026-01-11,South,P003,2.38,0.04
2026-01-11,South,P004,2.75,0.028
2026-01-11,East,P001,2.74,0.037
2026-01-11,East,P002,3.27,0.027
2026-01-11,East,P003,3.01,0.035
2026-01-11,East,P004,2.9,0.05
2026-01-11,West,P001,3.16,0.053
2026-01-11,West,P002,2.95,0.033
2026-01-11,West,P003,2.93,0.042
2026-01-11,West,P004,3.05,0.029
2026-01-12,North,P001,3.03,0.042
2026-01-12,North,P002,3.76,0.059
2026-01-12,North,P003,2.74,0.037
2026-01-12,North,P004,2.56,0.034
2026-01-12,South,P001,3.09,0.052
2026-01-12,South,P002,2.78,0.033
2026-01-12,South,P003,2.36,0.038
2026-01-12,South,P004,2.68,0.035
2026-01-12,East,P001,2.74,0.039
2026-01-12,East,P002,2.47,0.025
2026-01-12,East,P003,3.64,0.027
2026-01-12,East,P004,2.67,0.058
2026-01-12,West,P001,3.87,0.028
2026-01-12,West,P002,2.89,0.043
2026-01-12,West,P003,3.52,0.03
2026-01-12,West,P004,2.93,0.048
2026-01-13,North,P001,3.13,0.036
2026-01-13,North,P002,2.96,0.026
2026-01-13,North,P003,2.93,0.037
2026-01-13,North,P004,3.07,0.034
2026-01-13,South,P001,3.14,0.05
2026-01-13,South,P002,3.05,0.044
2026-01-13,South,P003,3.02,0.04
2026-01-13,South,P004,2.78,0.043
2026-01-13,East,P001,2.97,0.061
