date,product_id,product_name,region,units_sold,price,revenue,marketing_spend,discount,inventory
2026-01-05,P001,AirWave Earbuds Pro,North,19,2499.0,47481.0,145.25,0.0,215
2026-01-05,P002,PulseFit Smart Watch,North,10,4999.0,49990.0,114.09,0.0,325
2026-01-05,P003,EchoBeam Speaker Mini,North,16,1799.0,28784.0,147.11,0.0,197
2026-01-05,P004,ShieldCase Armor,North,26,599.0,15574.0,169.34,0.0,224
2026-01-05,P001,AirWave Earbuds Pro,South,17,2499.0,42483.0,118.44,0.0,185
2026-01-05,P002,PulseFit Smart Watch,South,11,4999.0,54989.0,134.38,0.0,188
2026-01-05,P003,EchoBeam Speaker Mini,South,13,1799.0,23387.0,154.66,0.0,221
2026-01-05,P004,ShieldCase Armor,South,25,599.0,14975.0,164.97,0.0,312
2026-01-05,P001,AirWave Earbuds Pro,East,20,2499.0,49980.0,160.61,0.0,282
2026-01-05,P002,PulseFit Smart Watch,East,11,4999.0,54989.0,115.41,0.0,236
2026-01-05,P003,EchoBeam Speaker Mini,East,13,1799.0,23387.0,117.48,0.0,369
2026-01-05,P004,ShieldCase Armor,East,27,599.0,16173.0,158.7,0.0,125
2026-01-05,P001,AirWave Earbuds Pro,West,18,2499.0,44982.0,72.22,0.0,348
2026-01-05,P002,PulseFit Smart Watch,West,9,4999.0,44991.0,211.55,0.0,219
2026-01-05,P003,EchoBeam Speaker Mini,West,12,1799.0,21588.0,125.63,0.0,385
2026-01-05,P004,ShieldCase Armor,West,26,599.0,15574.0,116.96,0.0,221
2026-01-06,P001,AirWave Earbuds Pro,North,16,2499.0,39984.0,108.82,0.0,267
2026-01-06,P002,PulseFit Smart Watch,North,11,4999.0,54989.0,204.36,0.0,197
2026-01-06,P003,EchoBeam Speaker Mini,North,13,1799.0,23387.0,156.56,0.0,57
2026-01-06,P004,ShieldCase Armor,North,24,599.0,14376.0,134.43,0.0,112
2026-01-06,P001,AirWave Earbuds Pro,South,19,2499.0,47481.0,180.51,0.0,139
2026-01-06,P002,PulseFit Smart Watch,South,9,4999.0,44991.0,179.95,0.0,378
2026-01-06,P003,EchoBeam Speaker Mini,South,14,1799.0,25186.0,140.26,0.0,114
2026-01-06,P004,ShieldCase Armor,South,24,599.0,14376.0,202.27,0.0,121
2026-01-06,P001,AirWave Earbuds Pro,East,18,2499.0,44982.0,155.24,0.0,395
2026-01-06,P002,PulseFit Smart Watch,East,12,4999.0,59988.0,189.15,0.0,277
2026-01-06,P003,EchoBeam Speaker Mini,East,13,1799.0,23387.0,141.79,0.0,207
2026-01-06,P004,ShieldCase Armor,East,25,599.0,14975.0,128.96,0.0,98
2026-01-06,P001,AirWave Earbuds Pro,West,19,2499.0,47481.0,193.56,0.0,114
2026-01-06,P002,PulseFit Smart Watch,West,9,4999.0,44991.0,135.51,0.0,76
2026-01-06,P003,EchoBeam Speaker Mini,West,14,1799.0,25186.0,209.95,0.0,73
2026-01-06,P004,ShieldCase Armor,West,27,599.0,16173.0,142.07,0.0,127
2026-01-07,P001,AirWave Earbuds Pro,North,18,2499.0,44982.0,106.45,0.0,282
2026-01-07,P002,PulseFit Smart Watch,North,10,4999.0,49990.0,188.58,0.0,123
2026-01-07,P003,EchoBeam Speaker Mini,North,14,1799.0,25186.0,145.75,0.0,314
2026-01-07,P004,ShieldCase Armor,North,27,599.0,16173.0,105.89,0.0,186
2026-01-07,P001,AirWave Earbuds Pro,South,19,2499.0,47481.0,149.39,0.0,123
2026-01-07,P002,PulseFit Smart Watch,South,8,4999.0,39992.0,145.91,0.0,388
2026-01-07,P003,EchoBeam Speaker Mini,South,16,1799.0,28784.0,200.24,0.0,349
2026-01-07,P004,ShieldCase Armor,South,29,599.0,17371.0,148.71,0.0,367
2026-01-07,P001,AirWave Earbuds Pro,East,19,2499.0,47481.0,136.46,0.0,377
2026-01-07,P002,PulseFit Smart Watch,East,9,4999.0,44991.0,88.18,0.0,275
2026-01-07,P003,EchoBeam Speaker Mini,East,15,1799.0,26985.0,130.75,0.0,168
2026-01-07,P004,ShieldCase Armor,East,23,599.0,13777.0,143.87,0.0,302
2026-01-07,P001,AirWave Earbuds Pro,West,21,2499.0,52479.0,212.81,0.0,62
2026-01-07,P002,PulseFit Smart Watch,West,10,4999.0,49990.0,118.97,0.0,298
2026-01-07,P003,EchoBeam Speaker Mini,West,15,1799.0,26985.0,158.6,0.0,98
2026-01-07,P004,ShieldCase Armor,West,25,599.0,14975.0,135.68,0.0,292
2026-01-08,P001,AirWave Earbuds Pro,North,20,2499.0,49980.0,166.41,0.0,274
2026-01-08,P002,PulseFit Smart Watch,North,8,4999.0,39992.0,148.0,0.0,260
2026-01-08,P003,EchoBeam Speaker Mini,North,16,1799.0,28784.0,189.78,0.0,263
2026-01-08,P004,ShieldCase Armor,North,24,599.0,14376.0,113.95,0.0,259
2026-01-08,P001,AirWave Earbuds Pro,South,20,2499.0,49980.0,157.33,0.0,73
2026-01-08,P002,PulseFit Smart Watch,South,10,4999.0,49990.0,126.97,0.0,137
2026-01-08,P003,EchoBeam Speaker Mini,South,14,1799.0,25186.0,71.78,0.0,345
2026-01-08,P004,ShieldCase Armor,South,25,599.0,14975.0,175.37,0.0,311
2026-01-08,P001,AirWave Earbuds Pro,East,15,2499.0,37485.0,138.57,0.0,254
2026-01-08,P002,PulseFit Smart Watch,East,9,4999.0,44991.0,156.88,0.0,299
2026-01-08,P003,EchoBeam Speaker Mini,East,14,1799.0,25186.0,201.43,0.0,194
2026-01-08,P004,ShieldCase Armor,East,25,599.0,14975.0,175.65,0.0,149
2026-01-08,P001,AirWave Earbuds Pro,West,16,2499.0,39984.0,143.37,0.0,267
2026-01-08,P002,PulseFit Smart Watch,West,10,4999.0,49990.0,175.45,0.0,371
2026-01-08,P003,EchoBeam Speaker Mini,West,15,1799.0,26985.0,127.54,0.0,85
2026-01-08,P004,ShieldCase Armor,West,28,599.0,16772.0,125.06,0.0,227
2026-01-09,P001,AirWave Earbuds Pro,North,18,2499.0,44982.0,144.21,0.0,201
2026-01-09,P002,PulseFit Smart Watch,North,9,4999.0,44991.0,192.32,0.0,95
2026-01-09,P003,EchoBeam Speaker Mini,North,13,1799.0,23387.0,180.78,0.0,184
2026-01-09,P004,ShieldCase Armor,North,24,599.0,14376.0,186.39,0.0,243
2026-01-09,P001,AirWave Earbuds Pro,South,19,2499.0,47481.0,156.26,0.0,274
2026-01-09,P002,PulseFit Smart Watch,South,10,4999.0,49990.0,149.75,0.0,121
2026-01-09,P003,EchoBeam Speaker Mini,South,13,1799.0,23387.0,177.12,0.0,229
2026-01-09,P004,ShieldCase Armor,South,28,599.0,16772.0,140.52,0.0,297
2026-01-09,P001,AirWave Earbuds Pro,East,18,2499.0,44982.0,172.76,0.0,115
2026-01-09,P002,PulseFit Smart Watch,East,10,4999.0,49990.0,149.1,0.0,357
2026-01-09,P003,EchoBeam Speaker Mini,East,15,1799.0,26985.0,130.11,0.0,196
2026-01-09,P004,ShieldCase Armor,East,25,599.0,14975.0,175.94,0.0,97
2026-01-09,P001,AirWave Earbuds Pro,West,18,2499.0,44982.0,204.25,0.0,73
2026-01-09,P002,PulseFit Smart Watch,West,10,4999.0,49990.0,144.87,0.0,315
2026-01-09,P003,EchoBeam Speaker Mini,West,13,1799.0,23387.0,118.9,0.0,357
2026-01-09,P004,ShieldCase Armor,West,27,599.0,16173.0,149.01,0.0,106
2026-01-10,P001,AirWave Earbuds Pro,North,17,2499.0,42483.0,186.8,0.0,91
2026-01-10,P002,PulseFit Smart Watch,North,11,4999.0,54989.0,124.41,0.0,303
2026-01-10,P003,EchoBeam Speaker Mini,North,13,1799.0,23387.0,204.41,0.0,197
2026-01-10,P004,ShieldCase Armor,North,24,599.0,14376.0,171.55,0.0,56
2026-01-10,P001,AirWave Earbuds Pro,South,19,2499.0,47481.0,132.86,0.0,375
2026-01-10,P002,PulseFit Smart Watch,South,11,4999.0,54989.0,115.19,0.0,105
2026-01-10,P003,EchoBeam Speaker Mini,South,14,1799.0,25186.0,116.57,0.0,91
2026-01-10,P004,ShieldCase Armor,South,24,599.0,14376.0,164.31,0.0,169
2026-01-10,P001,AirWave Earbuds Pro,East,18,2499.0,44982.0,130.55,0.0,369
2026-01-10,P002,PulseFit Smart Watch,East,9,4999.0,44991.0,162.86,0.0,57
2026-01-10,P003,EchoBeam Speaker Mini,East,15,1799.0,26985.0,147.62,0.0,374
2026-01-10,P004,ShieldCase Armor,East,26,599.0,15574.0,89.15,0.0,193
2026-01-10,P001,AirWave Earbuds Pro,West,19,2499.0,47481.0,243.06,0.0,275
2026-01-10,P002,PulseFit Smart Watch,West,10,4999.0,49990.0,172.31,0.0,185
2026-01-10,P003,EchoBeam Speaker Mini,West,16,1799.0,28784.0,179.25,0.0,311
2026-01-10,P004,ShieldCase Armor,West,26,599.0,15574.0,227.16,0.0,223
2026-01-11,P001,AirWave Earbuds Pro,North,19,2499.0,47481.0,115.36,0.0,56
2026-01-11,P002,PulseFit Smart Watch,North,9,4999.0,44991.0,186.98,0.0,103
2026-01-11,P003,EchoBeam Speaker Mini,North,13,1799.0,23387.0,152.23,0.0,89
